id	hisat_out.SRR941816.fastq.bam	hisat_out.SRR941817.fastq.bam	hisat_out.SRR941818.fastq.bam	hisat_out.SRR941819.fastq.bam
YJR134C	374.182588680552	404.557729297204	254.536393847728	322.413997107666
YJR135C	90.8536861004938	91.2132811412795	44.5438689233524	46.3041378824839
YJR135W-A	146.038888028201	280.614976687583	76.3609181543184	72.8861429631691
YJR136C	102.294520646482	61.7031019485126	174.993770770313	141.484865752034
YJR137C	252.371350279149	109.992486082131	388.168000617785	355.855874467237
YJR138W	222.086788245652	217.302228601283	168.63036092412	206.653652401456
YJR139C	1402.51171728466	1479.26480062651	588.615410772871	772.593115409593
YJR140C	78.7398612870946	124.479301322217	73.1792132312218	82.3184673466381
YJR141W	116.427316262114	127.162044885195	184.538885539603	197.221328017987
YJR142W	351.300919588576	435.677554627758	60.4523935388354	115.76034470621
YJR143C	137.290014551857	350.902858037628	591.797115695968	598.523856332848
YJR144W	108.351433053182	292.955597077286	356.350951386819	421.024661116659
YJR145C	630.591880564168	1559.21055880328	7225.65188035238	7935.15725860196
YJR146W	42.3983868468971	21.9984972164262	19.0902295385796	10.2898084183298
YJR147W	119.79226759917	52.0452251217889	98.6328526159946	77.1735631374732
YJR148W	1500.76829632668	962.568390396796	162.266951077927	153.489642240086
YJR149W	166.901586317944	150.233639526813	44.5438689233524	42.0167177081798
YJR150C	72.682948880395	16.0964613778728	3.1817049230966	2.57245210458244
YJR151C	591.558445054326	168.476295755069	50.9072787695456	24.8670370109636
YJR151W-A	0.672990267411065	1.07309742519152	0	0
YJR152W	104.313491448715	69.2147839248532	73.1792132312218	57.4514303356745
YJR153W	98.9295693094266	57.4107122477465	15.908524615483	10.2898084183298
YJR154W	22.8816690919762	23.0715946416177	15.908524615483	9.43232438346894
YJR155W	234.873603326462	105.700096381365	31.817049230966	47.1616219173447
YJR156C	41.725396579486	26.2908869171923	6.3634098461932	1.71496806972163
YJR158W	0.672990267411065	1.07309742519152	0	0.857484034860813
YJR159W	0	0	0	0
YJR160C	58.5501532647627	19.8523023660432	0	2.57245210458244
YJR161C	90.1806958330828	50.9721276965973	15.908524615483	19.7221328017987
YKL224C	0	0	0	0
YKL222C	168.247566852766	90.6767324286837	95.451147692898	88.3208555906638
YKL221W	51.820250590652	15.0233639526813	12.7268196923864	12.8622605229122
YKL220C	68.6450072759287	47.216286708427	73.1792132312218	61.7388505099785
YKL219W	54.5122116602963	37.5584098817033	178.17547569341	130.337573298844
YKL218C	232.854632524229	194.230633959666	57.2706886157388	48.0191059522055
YKL217W	5759.4507085039	1930.50226791955	321.352197232757	106.328020322741
YKL216W	322.3623380899	480.747646485802	1613.12439600998	1212.48242529319
YKL215C	2272.68813304717	1016.75981036897	346.805836617529	218.658428889507
YKL214C	176.99644032911	230.715946416177	133.631606770057	166.351902762998
YKL213C	556.562951148951	683.563059847	60.4523935388354	94.3232438346894
YKL212W	370.817637343497	477.528354210228	639.522689542417	632.82321772728
YKL211C	63.9340754040512	93.3594759916625	448.620394156621	438.174341813876
YNCK0001W	1.34598053482213	0.536548712595761	0	0.857484034860813
YKL210W	1183.78988037606	1414.87895511502	283.171738155597	477.618607417473
YKL209C	283.328902580058	142.185408837877	34.9987541540626	31.7269092898501
YNCK0002C	0.672990267411065	0	0	0.857484034860813
YKL208W	45.7633381839524	89.0670862908964	41.3621640002558	48.8765899870663
YKL207W	353.319890390809	533.329420320187	359.532656309916	458.753958650535
YKL206C	353.99288065822	299.394181628435	159.08524615483	250.385338179357
YKL205W	247.660418407272	254.324089770391	664.97632892719	666.265095086852
YKL204W	475.131128792212	705.025008350831	279.990033232501	224.660817133533
YKL203C	564.638834357884	384.168878218565	203.629115078182	222.945849063811
YKL201C	1059.28668090502	348.220114474649	1514.49154339398	931.227661858843
YKL198C	2111.17046886851	552.645173973634	559.980066465002	420.167177081798
YKL197C	323.035328357311	243.05656680588	28.6353443078694	54.0214941962312
YNCK0003W	0	0	0	0
YKL196C	875.560337901796	668.539695894319	524.981312310939	629.393281587837
YKL195W	921.996666353159	1642.37560925563	194.084000308893	240.095529761028
YKL194C	5.38392213928852	42.3873482950652	38.1804590771592	54.0214941962312
YKL193C	1041.78893395233	772.093597425301	130.449901846961	198.936296087709
YKL192C	570.022756497172	1067.19538935297	276.808328309404	415.879756907494
YKL191W	176.323450061699	157.208772790558	941.784657236594	1062.42271919255
YKL190W	162.863644713478	174.378331593622	448.620394156621	525.637713369678
YNCK0004W	0	0	0	0
YKL189W	179.015411131343	115.894521920684	108.177967385284	139.769897682313
YKL188C	696.544926770453	249.495151357029	25.4536393847728	13.719744557773
YKL187C	4109.27857281196	765.655012874152	133.631606770057	44.5891698127623
YKL186C	695.19894623563	349.829760612436	407.258230156365	454.466538476231
YKL185W	603.672269867726	807.505812456621	25.4536393847728	82.3184673466381
YKL184W	425.329849003793	414.752154836524	238.627869232245	216.085976784925
YKL183C-A	3.36495133705533	2.14619485038305	0	6.00238824402569
YKL183W	84.1237834263832	65.4589429366829	117.723082154574	93.4657597998286
YKL182W	11090.2066166669	9205.02971329288	798.607935697247	554.792170554946
YKL181W	664.241393934721	677.124475295851	3130.79764432705	2872.57151678372
