	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YLR327C	YLR327C	14466.701545975	-5.02337786229045	0.392444319298886	-12.800230797747	1.63464685554688e-37	3.3014229768752e-35
YOL151W	YOL151W	10488.4082808701	5.98276185657308	0.469533222485887	12.7419351178135	3.45712076355051e-37	6.74945210403845e-35
YBL028C	YBL028C	858.387488719869	5.39305004273941	0.424142054437771	12.7151976237967	4.86877071832243e-37	9.19883551523047e-35
YOL080C	YOL080C	383.167129685797	6.25363231737043	0.49204233087157	12.709541283355	5.23405639919761e-37	9.57995885315638e-35
YDL063C	YDL063C	1079.37944096672	5.55327621528261	0.437233337388434	12.7009441879523	5.84205889738745e-37	1.03687693824237e-34
YML018C	YML018C	802.662061470725	5.83951528536364	0.460900626632619	12.6697924626999	8.69441184330936e-37	1.49774029900773e-34
YHR196W	YHR196W	1196.40236987469	5.15981055711897	0.408007513988932	12.6463615992595	1.1717680108616e-36	1.96087006846183e-34
YNR060W	YNR060W	1991.32139935709	6.43413344461439	0.510738155047214	12.5977144668575	2.17351766549477e-36	3.53619249077858e-34
YPL212C	YPL212C	1385.88718774676	5.22877479345662	0.418789235249002	12.4854565336373	8.96277531174753e-36	1.41878310813258e-33
YBL039C	YBL039C	2045.22493294415	6.18574128646906	0.496755753055261	12.4522791098525	1.35907916711867e-35	2.09477017942475e-33
YLR264C-A	YLR264C-A	400.393435797997	6.38465019747081	0.513629028223752	12.4304699435513	1.78581411399272e-35	2.68192647837317e-33
YJR063W	YJR063W	780.083673510792	5.28451280048155	0.425424663923876	12.4217358526894	1.99192034147651e-35	2.91666936000699e-33
YDR037W	YDR037W	4855.84456229645	5.21477996426064	0.423949458858841	12.3004755762572	9.0042417253065e-35	1.28628887280781e-32
YNL182C	YNL182C	617.931421600285	5.51384577609562	0.453198439830695	12.1665153528672	4.68666465824618e-34	6.53566545317807e-32
YDR449C	YDR449C	840.026324279492	5.18079829847185	0.427131490916179	12.1292819861145	7.38944879610906e-34	1.00651166508862e-31
YMR093W	YMR093W	864.635065335975	5.18929817199673	0.429390139609745	12.0852755881005	1.26345813116015e-33	1.68183506231931e-31
YLR224W	YLR224W	721.810361705109	5.09872908625311	0.422180599004194	12.0771278885851	1.39508030956289e-33	1.81577452735775e-31
YJL069C	YJL069C	728.184855116329	5.18425703624034	0.430474374219594	12.0431257856844	2.10813472716813e-33	2.68420545587472e-31
YKR097W	YKR097W	21618.0447319077	-4.70615368980027	0.392775560026277	-11.9817885040643	4.42669262802525e-33	5.51641249411572e-31
YBR105C	YBR105C	2415.99805085994	4.92119340128505	0.415012778464281	11.8579322292087	1.95749696151003e-32	2.38855410490922e-30
YNL248C	YNL248C	1315.68802607934	5.28929525422823	0.448780731253576	11.7859232490969	4.61336952821749e-32	5.51438884219793e-30
YER049W	YER049W	1370.70064400974	5.21685287953502	0.443419041087806	11.7650628325227	5.90823436382469e-32	6.92090573378424e-30
YKL078W	YKL078W	495.209733685122	6.07852153188909	0.51727458337633	11.7510539416293	6.97435029277461e-32	8.0095626793688e-30
YGR128C	YGR128C	841.351711835042	4.91143904258673	0.42221554276166	11.6325396513392	2.81592988645317e-31	3.17171179710697e-29
YJL025W	YJL025W	239.47435804411	6.30686393097933	0.544290702664458	11.5873078487386	4.77918729679231e-31	5.28145282968162e-29
YPL068C	YPL068C	278.662185227842	6.29287568554429	0.544108187071202	11.5654861203564	6.16411999398925e-31	6.68578718607315e-29
YNL075W	YNL075W	802.966535077378	4.95734485537715	0.428828067109051	11.5602154700301	6.5544117782455e-31	6.97985268821525e-29
YKR092C	YKR092C	2181.2564075917	5.46605492745201	0.475211319553247	11.502366847218	1.28346891964226e-30	1.3188206074289e-28
YLR413W	YLR413W	656.028780732799	5.39607906390445	0.469119104131522	11.5025779516999	1.28033299542294e-30	1.3188206074289e-28
YIL053W	YIL053W	34481.9492051704	5.21956550210402	0.456289387945102	11.439156026859	2.66464973408692e-30	2.69083680905984e-28
YKL029C	YKL029C	5051.60266497697	5.54900358710382	0.485980142773364	11.4181693832943	3.39305639345871e-30	3.36832733838774e-28
YGL035C	YGL035C	650.155171143451	5.33247502917759	0.467263024931996	11.4121485002021	3.6363487538644e-30	3.54968244189729e-28
YOR226C	YOR226C	580.72165421783	6.33705707011028	0.556753535939115	11.382158641204	5.13136356860995e-30	4.92695023300795e-28
YHR085W	YHR085W	378.100157427292	5.59867362933828	0.493153249400535	11.352806934039	7.18194350747676e-30	6.78461985859539e-28
YGL120C	YGL120C	1323.75793061829	5.14013878762129	0.452824513413186	11.351282086911	7.30831307664811e-30	6.79441106189333e-28
YOR004W	YOR004W	600.201601286981	4.87366709042381	0.430787899132528	11.3133797403266	1.12664453054257e-29	1.03105578365435e-27
YLR435W	YLR435W	394.491694489936	5.34721446568663	0.476025273689135	11.233047405753	2.8062956564853e-29	2.52868825538991e-27
YPL081W	YPL081W	1679.54662996753	4.75898545307212	0.423860448683617	11.2277176789014	2.98078756957678e-29	2.64522315075927e-27
YER073W	YER073W	875.869552935891	6.17858251480323	0.551757961826874	11.197994305956	4.17069087617524e-29	3.64593081518782e-27
YNL110C	YNL110C	1231.8024384397	4.65027746912619	0.415484784010099	11.1924134122157	4.44176489129638e-29	3.82579661298866e-27
YGR208W	YGR208W	416.371111065559	6.12454632598433	0.547487510986076	11.1866411618293	4.74052780757986e-29	4.02395237231815e-27
YMR081C	YMR081C	2809.38940289825	-4.79163661518726	0.428518791164476	-11.1818587982251	5.00309464955839e-29	4.18616076606621e-27
YNL299W	YNL299W	235.020433046714	5.85178696251579	0.524627641527866	11.1541720247025	6.83259013532138e-29	5.63640569332075e-27
YPR137W	YPR137W	907.714663419654	4.6221868727707	0.416022213292835	11.1104328689227	1.11617123879966e-28	9.0797429800689e-27
YNR053C	YNR053C	1315.55990839038	4.54074108423403	0.409358915621909	11.0923224362553	1.36692125587812e-28	1.09672024598331e-26
YFL034C-A	YFL034C-A	1135.25058826607	5.3854017952149	0.485690762333522	11.0881289348402	1.43252703601371e-28	1.13382579053139e-26
YIL079C	YIL079C	351.109070008059	5.1864851285777	0.468167037472559	11.0782791470698	1.599165690336e-28	1.24884179310639e-26
